corruption_kind,severity,acc_corrupted,delta_acc,prob_l1_drift,top1_flip_rate,class_js_divergence,confidence_drop,entropy_shift
pt_noise,0.03,0.75498,0.000160000000000049,0.00022714939818445357,0.0003399999999999931,8.549107112691325e-09,9.71135062972639e-05,0.00025399585277807724
pt_noise,0.06,0.7538066666666666,0.0013333333333334085,0.0006431913409295914,0.0007266666666666671,1.0067262620937824e-07,0.0004960840309660153,0.0012676013877824799
eta_phi_jitter,0.02,0.7326866666666667,0.022453333333333325,0.08840470477428228,0.047586666666666666,0.0021677142593483053,0.012520339954793513,0.035824797212788084
eta_phi_jitter,0.05,0.52756,0.22758,0.5849647287389176,0.33247333333333334,0.0637907961014457,0.01988131771375734,0.06944050619487252
dropout,0.05,0.7140466666666667,0.041093333333333315,0.07638867779329214,0.03872666666666666,0.0009505935439115482,0.01111884276350339,0.030971754451563083
dropout,0.1,0.6571333333333333,0.09800666666666669,0.16805305128264153,0.08740666666666666,0.0045147675046901415,0.025944461203316838,0.07082471652426436
merge,0.1,0.7346533333333334,0.020486666666666653,0.059472579205167284,0.03085333333333333,0.0007418374165679459,0.006862284824252107,0.019378908974964082
merge,0.2,0.7074266666666666,0.047713333333333385,0.12377805769870842,0.06489333333333333,0.0031450040251260396,0.014921757205426656,0.04110078282329588
global_scale,0.03,0.7513466666666667,0.0037933333333333152,0.0015057125134527727,0.0004933333333333109,4.869540638307543e-07,0.0008027970671653506,0.0025786089051974548
