metric,n_points,slope,intercept,spearman_xy,pearson_xy,mae,rmse,r2
prob_l1_drift,9.0,0.3927966908369675,0.003243695877476541,0.9833333333333333,0.9854563235924856,0.008132601324789698,0.011680480806462425,0.9711241657084181
top1_flip_rate,9.0,0.6879220468350951,0.005273227192780089,0.9666666666666667,0.9819294553217554,0.009285254394142241,0.013008378571875229,0.9641854552284793
class_js_divergence,9.0,3.2633672918223353,0.024094615268592603,0.9833333333333333,0.9329524166305309,0.01920682306117846,0.024745463663613496,0.8704002116967475
confidence_drop,9.0,5.857329192807587,-0.008892472547936035,0.9666666666666667,0.7328884675328493,0.03195740761613686,0.04676544539133177,0.5371255058426483
entropy_shift,9.0,2.22132529536822,-0.01564272422413499,0.9666666666666667,0.8312716723925052,0.029351048667014674,0.038208838804307026,0.6910125933222325
