corruption_kind,severity,acc_clean,auc_clean,acc_corrupted,auc_corrupted,delta_acc,delta_auc,entropy_shift,confidence_drop,top1_flip_rate,prob_l1_drift,class_js_divergence,all_finite_logits,all_finite_probs
pt_noise,0.03,0.75514,0.9674092450864198,0.75498,0.9673369005679013,0.000160000000000049,7.234451851845236e-05,0.00025399585277807724,9.71135062972639e-05,0.01164,0.019837243068062786,8.549107112691325e-09,True,True
pt_noise,0.06,0.75514,0.9674092450864198,0.7538066666666666,0.9670661474814815,0.0013333333333334085,0.0003430976049383361,0.0012676013877824799,0.0004960840309660153,0.022906666666666665,0.03969509606877482,1.0067262625234823e-07,True,True
eta_phi_jitter,0.02,0.75514,0.9674092450864198,0.7326866666666667,0.9625805958271604,0.022453333333333325,0.00482864925925941,0.035824797212788084,0.012520339954793513,0.11055333333333334,0.1975714382119092,0.0021677142593483053,True,True
eta_phi_jitter,0.05,0.75514,0.9674092450864198,0.52756,0.90661507,0.22758,0.06079417508641982,0.06944050619487252,0.01988131771375734,0.43366666666666664,0.7838420799718171,0.0637907961014457,True,True
dropout,0.05,0.75514,0.9674092450864198,0.7140466666666667,0.9565068553827161,0.041093333333333315,0.010902389703703719,0.030971754451563083,0.01111884276350339,0.10608666666666666,0.1870830163388943,0.0009505935439115482,True,True
dropout,0.1,0.75514,0.9674092450864198,0.6571333333333333,0.9399490897530866,0.09800666666666669,0.027460155333333236,0.07082471652426436,0.025944461203316838,0.20923333333333333,0.3678440870190952,0.0045147675046901415,True,True
merge,0.1,0.75514,0.9674092450864198,0.7346533333333334,0.9618494846913581,0.020486666666666653,0.005559760395061675,0.019378908974964082,0.006862284824252107,0.08179333333333333,0.1460377589210665,0.0007418374165680383,True,True
merge,0.2,0.75514,0.9674092450864198,0.7074266666666666,0.954391275234568,0.047713333333333385,0.013017969851851774,0.04110078282329588,0.014921757205426656,0.15035333333333334,0.2696962588212019,0.0031450040251260396,True,True
global_scale,0.03,0.75514,0.9674092450864198,0.7513466666666667,0.9667216202469137,0.0037933333333333152,0.0006876248395061291,0.0025786089051974548,0.0008027970671653506,0.031406666666666666,0.05287645856540398,4.869540638307543e-07,True,True
