method,mask_frac,targeted_prob_drop,random_prob_drop,gap_prob_drop_target_minus_rand,targeted_auc_drop,random_auc_drop,gap_auc_drop_target_minus_rand,targeted_acc_drop,random_acc_drop,gap_acc_drop_target_minus_rand,targeted_mask_k_mean,random_mask_k_mean
input_gradients,0.02,0.07758907054093044,0.009857509004025858,0.06773156153690457,0.02800980416666654,0.003207397222222075,0.024802406944444466,0.08020000000000005,0.0103833333333333,0.06981666666666675,1.02135,1.02135
input_gradients,0.05,0.11359109776085295,0.01428798815533229,0.09930310960552066,0.043203315277777654,0.004731167592592585,0.03847214768518507,0.122,0.014816666666666664,0.10718333333333334,1.97945,1.97945
input_gradients,0.1,0.19253981829708836,0.029774644322297397,0.16276517397479096,0.07961458472222227,0.010244770833333305,0.06936981388888896,0.20804999999999996,0.03358333333333333,0.17446666666666663,3.9451,3.9451
input_gradients,0.2,0.30753543072566675,0.061604964897355695,0.24593046582831105,0.14381048055555545,0.02200548287037037,0.12180499768518509,0.3409,0.06706666666666668,0.2738333333333333,7.8838,7.8838
integrated_gradients,0.02,0.15850499317449426,0.009857509004025858,0.1486474841704684,0.05644946944444429,0.003207397222222075,0.053242072222222214,0.16374999999999995,0.0103833333333333,0.15336666666666665,1.02135,1.02135
integrated_gradients,0.05,0.19402919498658913,0.01428798815533229,0.17974120683125683,0.07290632222222226,0.004731167592592585,0.06817515462962968,0.20655,0.014816666666666664,0.19173333333333334,1.97945,1.97945
integrated_gradients,0.1,0.2598134047340217,0.029774644322297397,0.2300387604117243,0.10773529444444441,0.010244770833333305,0.0974905236111111,0.2857,0.03358333333333333,0.25211666666666666,3.9451,3.9451
integrated_gradients,0.2,0.34391064604873595,0.061604964897355695,0.28230568115138027,0.1641389319444443,0.02200548287037037,0.1421334490740739,0.3849,0.06706666666666668,0.31783333333333336,7.8838,7.8838
smoothgrad,0.02,0.12452147968134271,0.009857509004025858,0.11466397067731685,0.0440213402777776,0.003207397222222075,0.040813943055555524,0.12714999999999999,0.0103833333333333,0.11676666666666669,1.02135,1.02135
smoothgrad,0.05,0.15473737840638985,0.01428798815533229,0.14044939025105757,0.055903384722222116,0.004731167592592585,0.05117221712962953,0.16464999999999996,0.014816666666666664,0.1498333333333333,1.97945,1.97945
smoothgrad,0.1,0.21403774649812154,0.029774644322297397,0.18426310217582414,0.08380091527777778,0.010244770833333305,0.07355614444444447,0.23465000000000003,0.03358333333333333,0.2010666666666667,3.9451,3.9451
smoothgrad,0.2,0.29812303093007786,0.061604964897355695,0.23651806603272216,0.12862705138888875,0.02200548287037037,0.10662156851851838,0.33085,0.06706666666666668,0.2637833333333333,7.8838,7.8838
