metric,spearman_delta_auc,pearson_delta_auc,spearman_delta_acc,pearson_delta_acc
prob_l1_drift,0.9500000000000001,0.9861181274900931,0.9833333333333333,0.9882732631241085
top1_flip_rate,0.9500000000000001,0.9864632478116588,0.9833333333333333,0.9883635855629379
class_js_divergence,0.9500000000000001,0.9249834275957574,0.9833333333333333,0.9329524166305306
confidence_drop,0.9333333333333332,0.7406149243715701,0.9666666666666667,0.7328884675328493
entropy_shift,0.9333333333333332,0.836264722100271,0.9666666666666667,0.8312716723925052
