method,mask_frac,targeted_mask_k_mean,random_mask_k_mean,abs_diff
input_gradients,0.02,1.02135,1.02135,0.0
input_gradients,0.05,1.97945,1.97945,0.0
input_gradients,0.1,3.9451,3.9451,0.0
input_gradients,0.2,7.8838,7.8838,0.0
integrated_gradients,0.02,1.02135,1.02135,0.0
integrated_gradients,0.05,1.97945,1.97945,0.0
integrated_gradients,0.1,3.9451,3.9451,0.0
integrated_gradients,0.2,7.8838,7.8838,0.0
smoothgrad,0.02,1.02135,1.02135,0.0
smoothgrad,0.05,1.97945,1.97945,0.0
smoothgrad,0.1,3.9451,3.9451,0.0
smoothgrad,0.2,7.8838,7.8838,0.0
