epoch,train_loss,val_acc,val_auc_macro_ovr,val_signal_vs_bg_fpr50,val_target_vs_bg_ratio_fpr50,best_metric_so_far
1.0,1.37985553150177,0.58108,0.9190659586666665,0.025,0.008,0.9190659586666665
2.0,1.078213478380839,0.6313,0.9330373797777778,0.016,0.0054,0.9330373797777778
3.0,1.010949860458374,0.63766,0.9389278640000001,0.0154,0.005,0.9389278640000001
4.0,0.9618068014780681,0.66814,0.9444134191111111,0.0132,0.0056,0.9444134191111111
5.0,0.9312857029279074,0.65594,0.9416321340000001,0.0164,0.0066,0.9444134191111111
6.0,0.9121159596506755,0.66342,0.9460703819999999,0.0158,0.0066,0.9460703819999999
7.0,0.896100883731842,0.67338,0.9482481855555556,0.0144,0.0066,0.9482481855555556
8.0,0.8774922763760885,0.68268,0.9498478928888888,0.014,0.0042,0.9498478928888888
9.0,0.8677489330164592,0.69074,0.9509015022222223,0.0132,0.0044,0.9509015022222223
10.0,0.8582563628641764,0.66524,0.9468072046666668,0.017,0.0062,0.9509015022222223
11.0,0.8477090299034119,0.69196,0.9521324433333334,0.0124,0.004,0.9521324433333334
12.0,0.8363878573544821,0.69852,0.9525938526666667,0.0132,0.004,0.9525938526666667
13.0,0.8286309430122375,0.7022,0.9541507346666668,0.0116,0.0036,0.9541507346666668
14.0,0.8183352518145244,0.68472,0.950875751111111,0.0142,0.0028,0.9541507346666668
15.0,0.8064779412968953,0.70388,0.9545353886666668,0.009,0.002,0.9545353886666668
16.0,0.785332520014445,0.71464,0.9575987048888889,0.0106,0.0008,0.9575987048888889
17.0,0.7585373555374145,0.72948,0.961109973111111,0.0084,0.0004,0.961109973111111
18.0,0.7322534944915772,0.73632,0.9624675504444445,0.011,0.0002,0.9624675504444445
19.0,0.7121076406097412,0.73528,0.9633027164444444,0.0084,0.0,0.9633027164444444
20.0,0.6942085601043702,0.73842,0.9639682422222222,0.0082,0.0,0.9639682422222222
21.0,0.6787557204755147,0.74788,0.9651975815555556,0.008,0.0,0.9651975815555556
22.0,0.6682896771558126,0.74954,0.9658561044444444,0.006,0.0,0.9658561044444444
23.0,0.6568325736618043,0.75188,0.9663001068888889,0.0066,0.0,0.9663001068888889
24.0,0.6474510579808553,0.75236,0.9666432893333333,0.0074,0.0,0.9666432893333333
25.0,0.6379247169558208,0.75376,0.9669242728888889,0.0076,0.0,0.9669242728888889
26.0,0.6324260378138225,0.75234,0.9667872142222222,0.0074,0.0,0.9669242728888889
27.0,0.6263146497726441,0.75496,0.967284206888889,0.0068,0.0,0.967284206888889
28.0,0.6213547180747986,0.75422,0.9671347073333333,0.0074,0.0,0.967284206888889
29.0,0.6198272273254395,0.75594,0.9671773195555555,0.0074,0.0,0.967284206888889
30.0,0.6190264487330119,0.75566,0.9672041635555555,0.0068,0.0,0.967284206888889
