metric,n_spearman_delta_auc,n_pearson_delta_auc,n_spearman_delta_acc,n_pearson_delta_acc,mean_spearman_delta_auc,mean_pearson_delta_auc,mean_spearman_delta_acc,mean_pearson_delta_acc,std_spearman_delta_auc,std_pearson_delta_auc,std_spearman_delta_acc,std_pearson_delta_acc,min_spearman_delta_auc,min_pearson_delta_auc,min_spearman_delta_acc,min_pearson_delta_acc,max_spearman_delta_auc,max_pearson_delta_auc,max_spearman_delta_acc,max_pearson_delta_acc
class_js_divergence,5,5,5,5,0.9566666666666667,0.9296016263962391,0.9833333333333332,0.936850002627633,0.014907119849998545,0.0072245455719931895,1.2412670766236366e-16,0.003478355554231485,0.9500000000000001,0.9234796115360415,0.9833333333333333,0.9329524166305306,0.9833333333333333,0.9401477930854244,0.9833333333333333,0.9399008575455361
confidence_drop,5,5,5,5,0.76,0.43125637398498917,0.7933333333333333,0.41989248084527747,0.1511989124005563,0.2592896581770228,0.16012148165967263,0.2536691965855787,0.5833333333333334,0.1062538390908567,0.5833333333333334,0.11359922774731833,0.9333333333333332,0.7406149243715701,0.9666666666666667,0.7328884675328493
entropy_shift,5,5,5,5,0.8466666666666667,0.6442661626901625,0.8866666666666667,0.6366046673865605,0.07011894655987538,0.17673445341501842,0.07940752833047728,0.1716899837010226,0.7666666666666667,0.4195986220102044,0.7666666666666667,0.42729876392588106,0.9333333333333332,0.836264722100271,0.9666666666666667,0.8312716723925052
prob_l1_drift,5,5,5,5,0.9566666666666667,0.9851348211023305,0.9833333333333332,0.9882040209406042,0.014907119849998545,0.0008910557918661386,1.2412670766236366e-16,0.0007775721165785756,0.9500000000000001,0.9836947962633111,0.9833333333333333,0.9871916116580635,0.9833333333333333,0.9861181274900931,0.9833333333333333,0.9891990525693496
top1_flip_rate,5,5,5,5,0.9566666666666667,0.984896460994188,0.9833333333333332,0.9876742210453664,0.014907119849998545,0.0010079495937016388,1.2412670766236366e-16,0.0007085390358502218,0.9500000000000001,0.9839522137774404,0.9833333333333333,0.9864980677686063,0.9833333333333333,0.9864632478116588,0.9833333333333333,0.9883635855629379
