seed,metric,aspen_value,calib_min,calib_max,aspen_over_calibmax_ratio
41,prob_l1_drift,0.9146027045325256,0.0002017284832999261,0.6255878832815498,1.461989160875264
41,top1_flip_rate,0.7323476666666667,0.00021333333333335702,0.35304,2.0744042223732913
41,class_js_divergence,0.171711382659399,8.804473192701953e-09,0.07238881250925001,2.3720707206995186
41,confidence_drop,0.28032089210107425,7.206384261448928e-05,0.02634687561541804,10.63962559329168
41,entropy_shift,0.8221456650314439,0.00017839333136115965,0.07014200366303591,11.72116024773193
52,prob_l1_drift,1.0019422001679341,0.0002739490292800323,0.6269534830047526,1.5981125032849348
52,top1_flip_rate,0.665617,0.00033333333333333826,0.35436,1.8783638108138616
52,class_js_divergence,0.19223472832166344,1.577412882718197e-08,0.07119133279623316,2.700254662627062
52,confidence_drop,0.2378333933277974,0.0001299184597531866,0.024355493632256975,9.765082035241749
52,entropy_shift,0.6217845467046537,0.0003234426233378329,0.06510633926241094,9.550291933916798
63,prob_l1_drift,0.8878415234204146,0.00022714939818445357,0.5849647287389176,1.517769328305395
63,top1_flip_rate,0.699861,0.0003399999999999931,0.33247333333333334,2.105013935954763
63,class_js_divergence,0.14041589328593396,8.549107112691325e-09,0.0637907961014457,2.2011936183181087
63,confidence_drop,0.26421389183149735,9.71135062972639e-05,0.025944461203316838,10.183826511599294
63,entropy_shift,0.8421449461922824,0.00025399585277807724,0.07082471652426436,11.890551597248763
74,prob_l1_drift,0.9656348994781963,0.00029015093185738583,0.5880178951101106,1.6421862455348815
74,top1_flip_rate,0.7262323333333334,0.00041999999999999676,0.33393333333333336,2.174782391694949
74,class_js_divergence,0.20879946106716257,1.671774662881522e-08,0.06564695259802386,3.1806420984337964
74,confidence_drop,0.24481835778598493,0.000151932727793902,0.027135869448880356,9.021946330011044
74,entropy_shift,0.6867995781352279,0.0003771331865255467,0.07197336742320315,9.542412738546034
85,prob_l1_drift,1.1493618062425524,0.0003814218014839832,0.6594428247315868,1.7429286712011423
85,top1_flip_rate,0.7373823333333334,0.00039333333333332193,0.37760666666666665,1.9527789057396587
85,class_js_divergence,0.2221550528198718,2.4296670128792964e-08,0.07935790746262839,2.7994066366289982
85,confidence_drop,0.14814477842702967,8.907286693660144e-05,0.024823313295344596,5.967969572168796
85,entropy_shift,0.48700279376253963,0.00032076219019161467,0.06808836904447868,7.15251078263316
