seed,ensemble_predicted_delta_acc,ensemble_predicted_expected_acc,strong_metric_mean_predicted_delta_acc,strong_metric_mean_expected_acc,num_metrics_clipped
41,0.5821481742120448,0.16137849245462188,0.45482558213416713,0.28870108453249954,1
52,0.6740081652944887,0.06853183470551127,0.48430670216077315,0.2582332978392268,2
63,0.6625141010626215,0.09262589893737849,0.4403437319158096,0.3147962680841904,2
74,0.7040842260596186,0.04744244060704805,0.518509927147854,0.23301673951881263,2
85,0.5396010759942695,0.19727225733906384,0.5375004995003786,0.1993728338329548,0
