metric,aspen_metric_value,slope,intercept,predicted_delta_acc_raw,predicted_delta_acc_clipped,predicted_expected_acc,mapping_weight_abs_spearman
prob_l1_drift,0.9146027045325256,0.37460118480427596,0.002965421456157061,0.34557667819923626,0.34557667819923626,0.3979499884674304,0.9833333333333333
top1_flip_rate,0.7323476666666667,0.661705976065878,0.004488438377197443,0.4890872659684324,0.4890872659684324,0.2544394006982343,0.9833333333333333
class_js_divergence,0.171711382659399,2.948476325606795,0.023525855626385764,0.5298128022348328,0.5298128022348328,0.21371386443183382,0.9833333333333333
confidence_drop,0.28032089210107425,2.0535777267726143,0.035669712001359356,0.6113304523691547,0.6113304523691547,0.13219621429751194,0.7
entropy_shift,0.8221456650314439,1.6387527188571474,0.013277847961385389,1.3605712918282815,1.0,0.0,0.8499999999999999
