metric,n_points,slope,intercept,spearman_xy,pearson_xy,mae,rmse,r2
prob_l1_drift,9.0,0.37460118480427596,0.002965421456157061,0.9833333333333333,0.9871865009104367,0.007785773972401353,0.011171458772596312,0.9745371875797918
top1_flip_rate,9.0,0.661705976065878,0.004488438377197443,0.9833333333333333,0.9848123829439801,0.008623629704850096,0.012155175991936312,0.9698554295998008
class_js_divergence,9.0,2.948476325606795,0.023525855626385764,0.9833333333333333,0.9399008575455359,0.018750492309334822,0.02390455188822961,0.883413622014834
confidence_drop,9.0,2.0535777267726143,0.035669712001359356,0.7,0.2308017444353371,0.043054887387279916,0.06811925642651807,0.0532694452343947
entropy_shift,9.0,1.6387527188571474,0.013277847961385389,0.8499999999999999,0.4919486762268037,0.037681044996745267,0.06095192654101009,0.2420135000413045
