corruption_kind,severity,acc_corrupted,delta_acc,prob_l1_drift,top1_flip_rate,class_js_divergence,confidence_drop,entropy_shift
pt_noise,0.03,0.7428733333333334,0.0006533333333332836,0.0002017284832999261,0.00021333333333335702,8.804473192701953e-09,7.206384261448928e-05,0.00017839333136115965
pt_noise,0.06,0.74162,0.0019066666666667231,0.0008936828568010952,0.0006133333333333338,1.6015447637298947e-07,0.000558421551684618,0.0013645336795400365
eta_phi_jitter,0.02,0.7217666666666667,0.02176,0.09171136236671772,0.05012666666666666,0.002367666015676586,0.011024156878093883,0.03340191345068044
eta_phi_jitter,0.05,0.5108466666666667,0.23268,0.6255878832815498,0.35304,0.07238881250925001,0.003915877665181977,0.0304118180734535
dropout,0.05,0.7033133333333333,0.04021333333333332,0.07771106944551369,0.04044666666666666,0.0010020111565153382,0.011122626960972992,0.030103074478416092
dropout,0.1,0.6489733333333333,0.09455333333333338,0.17268814092419055,0.09100666666666665,0.004826028702522808,0.02634687561541804,0.07014200366303591
merge,0.1,0.7243466666666667,0.019179999999999975,0.061189975664018376,0.03225333333333333,0.0007988073636865301,0.004386785050034536,0.01253027059206202
merge,0.2,0.6958866666666667,0.047640000000000016,0.13033064671722763,0.06853333333333335,0.003482492552936764,0.010263157669901823,0.02819625039551754
global_scale,0.03,0.7401533333333333,0.0033733333333333393,0.0016444803638044486,0.0008533333333333309,6.596893849085015e-07,0.0009378690819938917,0.0026473641041521168
