corruption_kind,severity,acc_clean,auc_clean,acc_corrupted,auc_corrupted,delta_acc,delta_auc,entropy_shift,confidence_drop,top1_flip_rate,prob_l1_drift,class_js_divergence,all_finite_logits,all_finite_probs
pt_noise,0.03,0.74254,0.9637968609382718,0.7421733333333334,0.9637207722962963,0.0003666666666666263,7.608864197550247e-05,0.0003234426233378329,0.0001299184597531866,0.01246,0.021247793115273143,1.5774128858867778e-08,True,True
pt_noise,0.06,0.74254,0.9637968609382718,0.7408,0.9635044880740742,0.0017399999999999638,0.00029237286419758757,0.0014540691558335705,0.000584803603092876,0.025526666666666666,0.04264835817025408,1.694727222536497e-07,True,True
eta_phi_jitter,0.02,0.74254,0.9637968609382718,0.7186,0.9584496129629632,0.02393999999999996,0.005347247975308611,0.03384256717619205,0.011528688963055589,0.11648,0.20679212528715643,0.002340709513138915,True,True
eta_phi_jitter,0.05,0.74254,0.9637968609382718,0.50486,0.898940805382716,0.23768,0.06485605555555574,0.044277674216192775,0.008737742586632513,0.45334,0.8212400994461211,0.07119133279623308,True,True
dropout,0.05,0.74254,0.9637968609382718,0.7011066666666667,0.9520256929876544,0.04143333333333332,0.01177116795061739,0.027039347980683193,0.010067991686165345,0.11109333333333334,0.1925446712530629,0.0010152995067621213,True,True
dropout,0.1,0.74254,0.9637968609382718,0.6452933333333334,0.9346392716296297,0.09724666666666659,0.029157589308642096,0.06510633926241094,0.024355493632256975,0.21386,0.3753911432303867,0.004830072376255642,True,True
merge,0.1,0.74254,0.9637968609382718,0.7229533333333333,0.9582890545185185,0.01958666666666664,0.005507806419753236,0.011577842918486403,0.0039729464138547055,0.08508666666666667,0.15161200675837153,0.0008220358994979276,True,True
merge,0.2,0.74254,0.9637968609382718,0.6935333333333333,0.9506310862222221,0.04900666666666664,0.013165774716049627,0.02724287639951395,0.010177105857928637,0.15808666666666665,0.2793626062242307,0.0034264071232038024,True,True
global_scale,0.03,0.74254,0.9637968609382718,0.7395933333333333,0.9630532560493826,0.002946666666666653,0.0007436048888891378,0.0029699450230334934,0.0010233080876866918,0.03386,0.055738149101509454,6.616444721079087e-07,True,True
