metric,spearman_delta_auc,pearson_delta_auc,spearman_delta_acc,pearson_delta_acc
prob_l1_drift,0.9500000000000001,0.9852693070818321,0.9833333333333333,0.9886237755858371
top1_flip_rate,0.9500000000000001,0.9852130839304898,0.9833333333333333,0.9880487810668516
class_js_divergence,0.9500000000000001,0.9252981413983947,0.9833333333333333,0.9390122184221197
confidence_drop,0.7166666666666667,0.4557282049251413,0.7833333333333333,0.42977780428320017
entropy_shift,0.8833333333333333,0.698587595076757,0.9333333333333332,0.6802464789922102
