method,mask_frac,targeted_prob_drop,random_prob_drop,gap_prob_drop_target_minus_rand,targeted_auc_drop,random_auc_drop,gap_auc_drop_target_minus_rand,targeted_acc_drop,random_acc_drop,gap_acc_drop_target_minus_rand,targeted_mask_k_mean,random_mask_k_mean
input_gradients,0.02,0.08919060565072323,0.01066566114727588,0.07852494450344735,0.03311029444444469,0.003417091203703889,0.0296932032407408,0.0947,0.012033333333333304,0.08266666666666671,1.02085,1.02085
input_gradients,0.05,0.12932232804223637,0.015905810760559472,0.1134165172816769,0.048977633333333714,0.005317678703703847,0.04365995462962987,0.14039999999999997,0.01746666666666663,0.12293333333333334,1.96905,1.96905
input_gradients,0.1,0.2126779578284463,0.03090678272920197,0.18177117509924434,0.08779962222222237,0.010705315740740814,0.07709430648148156,0.23485,0.033033333333333324,0.20181666666666667,3.93195,3.93195
input_gradients,0.2,0.3280177885596617,0.06582248274815,0.2621953058115117,0.15502888333333342,0.023636396759259364,0.13139248657407407,0.3655,0.07078333333333331,0.2947166666666667,7.86075,7.86075
integrated_gradients,0.02,0.18364857529964823,0.01066566114727588,0.17298291415237235,0.06461416805555564,0.003417091203703889,0.06119707685185175,0.19579999999999997,0.012033333333333304,0.18376666666666666,1.02085,1.02085
integrated_gradients,0.05,0.22552694171349244,0.015905810760559472,0.20962113095293297,0.08499850972222234,0.005317678703703847,0.07968083101851849,0.24639999999999995,0.01746666666666663,0.22893333333333332,1.96905,1.96905
integrated_gradients,0.1,0.2952296666261844,0.03090678272920197,0.26432288389698244,0.12649002638888918,0.010705315740740814,0.11578471064814837,0.32704999999999995,0.033033333333333324,0.29401666666666665,3.93195,3.93195
integrated_gradients,0.2,0.3746626306327614,0.06582248274815,0.3088401478846114,0.18507585000000015,0.023636396759259364,0.1614394532407408,0.4219,0.07078333333333331,0.3511166666666667,7.86075,7.86075
smoothgrad,0.02,0.11597669859694172,0.01066566114727588,0.10531103744966584,0.03985884027777786,0.003417091203703889,0.03644174907407397,0.12219999999999998,0.012033333333333304,0.11016666666666668,1.02085,1.02085
smoothgrad,0.05,0.15194092574776075,0.015905810760559472,0.13603511498720128,0.053207955555555686,0.005317678703703847,0.04789027685185184,0.16354999999999997,0.01746666666666663,0.14608333333333334,1.96905,1.96905
smoothgrad,0.1,0.222961436644173,0.03090678272920197,0.19205465391497104,0.08642975277777787,0.010705315740740814,0.07572443703703706,0.24264999999999992,0.033033333333333324,0.2096166666666666,3.93195,3.93195
smoothgrad,0.2,0.31999285259869964,0.06582248274815,0.25417036985054964,0.14234855277777803,0.023636396759259364,0.11871215601851866,0.35185,0.07078333333333331,0.2810666666666667,7.86075,7.86075
