metric,spearman_delta_auc,pearson_delta_auc,spearman_delta_acc,pearson_delta_acc
prob_l1_drift,0.9500000000000001,0.9836947962633111,0.9833333333333333,0.9877324017656627
top1_flip_rate,0.9500000000000001,0.9841300948062733,0.9833333333333333,0.9876918812967801
class_js_divergence,0.9500000000000001,0.9234796115360415,0.9833333333333333,0.9331626967740625
confidence_drop,0.9,0.6098141849511151,0.9333333333333332,0.5923951602276827
entropy_shift,0.8666666666666667,0.764619365985309,0.9166666666666666,0.7522577453954021
