epoch,train_loss,val_acc,val_auc_macro_ovr,val_signal_vs_bg_fpr50,val_target_vs_bg_ratio_fpr50,best_metric_so_far
1.0,1.3707590268071492,0.5838,0.9178490757777776,0.0264,0.0084,0.9178490757777776
2.0,1.0803706597010294,0.64822,0.9390428508888888,0.0176,0.0066,0.9390428508888888
3.0,1.0046693383725485,0.65108,0.9404569768888889,0.0202,0.0076,0.9404569768888889
4.0,0.9621775318272908,0.65442,0.9419337573333333,0.0142,0.0068,0.9419337573333333
5.0,0.9340906888389587,0.6667,0.9454428875555555,0.0132,0.0046,0.9454428875555555
6.0,0.912001866086324,0.66902,0.9466217602222222,0.0146,0.0042,0.9466217602222222
7.0,0.8920089334869384,0.68202,0.9494312506666667,0.0152,0.004,0.9494312506666667
8.0,0.8819493481763204,0.68812,0.9507492079999998,0.0116,0.004,0.9507492079999998
9.0,0.8702694095865885,0.68628,0.9510031677777777,0.0128,0.004,0.9510031677777777
10.0,0.8561517215029398,0.68814,0.9516139715555557,0.0126,0.0048,0.9516139715555557
11.0,0.8467874648793539,0.69978,0.9530113857777778,0.0104,0.0038,0.9530113857777778
12.0,0.8357677230962117,0.69556,0.9526014793333333,0.0122,0.0042,0.9530113857777778
13.0,0.8270066389274597,0.69768,0.9527527557777777,0.0118,0.0032,0.9530113857777778
14.0,0.8180256610806783,0.6954,0.9530570431111111,0.0112,0.0046,0.9530570431111111
15.0,0.8042146994400025,0.7065,0.9555411706666666,0.011,0.004,0.9555411706666666
16.0,0.782333784275055,0.7173,0.9583999004444446,0.011,0.0028,0.9583999004444446
17.0,0.7562534614117941,0.71146,0.9572152882222221,0.0106,0.0018,0.9583999004444446
18.0,0.7362882786305746,0.7362,0.9628929048888889,0.0094,0.0014,0.9628929048888889
19.0,0.715193398399353,0.73306,0.9623664546666666,0.0106,0.0014,0.9628929048888889
20.0,0.6995112861951193,0.74304,0.9644716377777778,0.0086,0.0006,0.9644716377777778
21.0,0.6842194722811381,0.74798,0.9652848860000001,0.01,0.0006,0.9652848860000001
22.0,0.6731224399121603,0.74234,0.9649620473333332,0.0096,0.0012,0.9652848860000001
23.0,0.6595419867451986,0.74738,0.9656385519999999,0.009,0.0012,0.9656385519999999
24.0,0.6516833429908753,0.74778,0.9657971004444444,0.0094,0.001,0.9657971004444444
25.0,0.6412176882807413,0.75006,0.9662571255555555,0.0088,0.001,0.9662571255555555
26.0,0.634255502020518,0.7511,0.9662717917777778,0.009,0.001,0.9662717917777778
27.0,0.6283362853686015,0.75236,0.9663846728888889,0.0092,0.001,0.9663846728888889
28.0,0.6259575727653504,0.75164,0.966282057111111,0.009,0.001,0.9663846728888889
29.0,0.6226372600046793,0.75126,0.9663299513333333,0.0088,0.001,0.9663846728888889
30.0,0.6200368709119161,0.75246,0.9664321244444445,0.009,0.001,0.9664321244444445
