metric,aspen_metric_value,slope,intercept,predicted_delta_acc_raw,predicted_delta_acc_clipped,predicted_expected_acc,mapping_weight_abs_spearman
prob_l1_drift,1.1493618062425524,0.3829939166354715,0.004808926907888413,0.44500750671194345,0.44500750671194345,0.29186582662138993,0.9833333333333333
top1_flip_rate,0.7373823333333334,0.6669145010118388,0.006555534963569212,0.4983265058535146,0.4983265058535146,0.23854682747981876,0.9833333333333333
class_js_divergence,0.2221550528198718,2.892614120840189,0.02655864313291842,0.6691674859356777,0.6691674859356777,0.06770584739765573,0.9833333333333333
confidence_drop,0.14814477842702967,1.1190707495618002,0.04845931698067943,0.21424380521868233,0.21424380521868233,0.522629528114651,0.5833333333333334
entropy_shift,0.48700279376253963,1.5902324303436313,0.020790537871307534,0.7952381741804492,0.7952381741804492,0.0,0.7666666666666667
