corruption_kind,severity,acc_corrupted,delta_acc,prob_l1_drift,top1_flip_rate,class_js_divergence,confidence_drop,entropy_shift
pt_noise,0.03,0.7363866666666666,0.0004866666666667463,0.0003814218014839832,0.00039333333333332193,2.4296670128792964e-08,8.907286693660144e-05,0.00032076219019161467
pt_noise,0.06,0.73514,0.0017333333333333645,0.0007669413020198329,0.0010399999999999993,1.3784428427669824e-07,0.0004063944090406668,0.0014128078060061666
eta_phi_jitter,0.02,0.7075333333333333,0.029340000000000033,0.0992436722470018,0.05149333333333336,0.0031006094464953457,0.011574211744765472,0.033715240045706585
eta_phi_jitter,0.05,0.48526,0.25161333333333336,0.6594428247315868,0.37760666666666665,0.07935790746262839,0.0009990396737059593,0.024933792522845444
dropout,0.05,0.6943466666666667,0.04252666666666671,0.07902475652707129,0.0417266666666667,0.0010456714600958574,0.010411308853328305,0.02877795624692936
dropout,0.1,0.63526,0.10161333333333333,0.1770423068392204,0.09527333333333335,0.005081186371130847,0.024823313295344596,0.06808836904447868
merge,0.1,0.71342,0.023453333333333326,0.06298643637323675,0.03362000000000002,0.0008383155377678214,0.004722624196906944,0.013305358577079818
merge,0.2,0.68302,0.05385333333333342,0.13267407305488305,0.07071333333333335,0.0035590656897665955,0.010069817743102782,0.028337486683893798
global_scale,0.03,0.7335,0.0033733333333333393,0.0018066859981579475,0.0013733333333333306,6.372154860891918e-07,0.0011177448560794057,0.002889102664799248
