metric,n_points,slope,intercept,spearman_xy,pearson_xy,mae,rmse,r2
prob_l1_drift,9.0,0.3829939166354715,0.004808926907888413,0.9833333333333333,0.9883830940182967,0.008100004147605248,0.011451603653538875,0.9769011405411813
top1_flip_rate,9.0,0.6669145010118388,0.006555534963569212,0.9833333333333333,0.9866314790391923,0.008844376530915526,0.012279236873912457,0.9734416754310646
class_js_divergence,9.0,2.892614120840189,0.02655864313291842,0.9833333333333333,0.9392218237659158,0.02006661439652781,0.025867747749344777,0.882137634238173
confidence_drop,9.0,1.1190707495618002,0.04845931698067943,0.5833333333333334,0.11359922774731833,0.05053577618061847,0.07486012769994335,0.01290478454478694
entropy_shift,9.0,1.5902324303436313,0.020790537871307534,0.7666666666666667,0.42729876392588106,0.042482726662386124,0.06812280864810251,0.1825842336525857
