method,targeted_drop,random_drop,gap_target_minus_random,auc_gap,acc_gap
input_gradients,0.19093502417966557,0.03101960210489769,0.15991542207476783,0.07045906921296291,0.17753333333333332
integrated_gradients,0.2681739409928665,0.03101960210489769,0.23715433888796877,0.10379136921296292,0.26255833333333334
smoothgrad,0.1861557925701777,0.03101960210489769,0.15513619046528,0.061576943171296264,0.16920833333333335
