epoch,train_loss,val_acc,val_auc_macro_ovr,val_signal_vs_bg_fpr50,val_target_vs_bg_ratio_fpr50,best_metric_so_far
1.0,1.3751705564626058,0.59418,0.9207542988888889,0.0226,0.0104,0.9207542988888889
2.0,1.0780914840634663,0.61786,0.9339416691111113,0.0186,0.0096,0.9339416691111113
3.0,1.01155427362442,0.64838,0.9387403495555555,0.0224,0.0076,0.9387403495555555
4.0,0.961204611676534,0.66196,0.9433533191111112,0.0152,0.0062,0.9433533191111112
5.0,0.9345742692693074,0.67276,0.9462761000000001,0.0152,0.0056,0.9462761000000001
6.0,0.9133440833409627,0.67614,0.9477873008888889,0.0146,0.0056,0.9477873008888889
7.0,0.895023317381541,0.66406,0.9477889586666667,0.0148,0.005,0.9477889586666667
8.0,0.8835654163678487,0.67674,0.9483194226666665,0.0128,0.0052,0.9483194226666665
9.0,0.8698638787523906,0.67934,0.949905244,0.013,0.005,0.949905244
10.0,0.8595771318944295,0.69256,0.9513446651111112,0.0136,0.0054,0.9513446651111112
11.0,0.8480128377215067,0.69044,0.9517192231111112,0.0132,0.0044,0.9517192231111112
12.0,0.840556664536794,0.6877,0.950955126,0.0136,0.0054,0.9517192231111112
13.0,0.8304088036982219,0.69864,0.9533892268888888,0.0114,0.0048,0.9533892268888888
14.0,0.8214348018074036,0.7002,0.9536004693333332,0.0132,0.0052,0.9536004693333332
15.0,0.8113696158663432,0.7024,0.9542808475555555,0.012,0.004,0.9542808475555555
16.0,0.8005132675806681,0.70262,0.9542999951111112,0.0122,0.004,0.9542999951111112
17.0,0.7825592831039428,0.71414,0.9573851071111109,0.0102,0.003,0.9573851071111109
18.0,0.7593804081789652,0.72334,0.9601362506666666,0.0098,0.0018,0.9601362506666666
19.0,0.7394227772458395,0.72478,0.9604980028888889,0.0096,0.0022,0.9604980028888889
20.0,0.7207088585853577,0.72914,0.9611102777777779,0.009,0.0018,0.9611102777777779
21.0,0.7038251203028361,0.7398,0.9633387028888889,0.009,0.0012,0.9633387028888889
22.0,0.689868525797526,0.74036,0.9637463222222223,0.0104,0.0012,0.9637463222222223
23.0,0.6770828964106241,0.74312,0.9639462780000001,0.009,0.0014,0.9639462780000001
24.0,0.6677921506182353,0.7445,0.9641770384444444,0.0092,0.0014,0.9641770384444444
25.0,0.6582812528610229,0.7437,0.9644605711111112,0.0086,0.0014,0.9644605711111112
26.0,0.6503731210835775,0.7464,0.9648940982222222,0.0096,0.0014,0.9648940982222222
27.0,0.6459739590962728,0.74764,0.9651659466666664,0.0086,0.0014,0.9651659466666664
28.0,0.6404902033106487,0.74714,0.9650106386666666,0.009,0.0014,0.9651659466666664
29.0,0.6372403057352701,0.74812,0.9651871617777777,0.0084,0.0014,0.9651871617777777
30.0,0.6381786096191406,0.74808,0.9652119011111111,0.0088,0.0014,0.9652119011111111
