corruption_kind,severity,acc_clean,auc_clean,acc_corrupted,auc_corrupted,delta_acc,delta_auc,entropy_shift,confidence_drop,top1_flip_rate,prob_l1_drift,class_js_divergence,all_finite_logits,all_finite_probs
pt_noise,0.03,0.7435266666666667,0.9646708571111112,0.7428733333333334,0.9645808650123456,0.0006533333333332836,8.999209876559e-05,0.00017839333136115965,7.206384261448928e-05,0.01232,0.020811141635527212,8.804473192701953e-09,True,True
pt_noise,0.06,0.7435266666666667,0.9646708571111112,0.74162,0.9643180325185187,0.0019066666666667231,0.00035282459259255994,0.0013645336795400365,0.000558421551684618,0.02426,0.04157317835942247,1.6015447637298947e-07,True,True
eta_phi_jitter,0.02,0.7435266666666667,0.9646708571111112,0.7217666666666667,0.9594473043209876,0.02176,0.005223552790123653,0.03340191345068044,0.011024156878093883,0.11338,0.20210032470875788,0.0023676660156765656,True,True
eta_phi_jitter,0.05,0.7435266666666667,0.9646708571111112,0.5108466666666667,0.8999021924197532,0.23268,0.064768664691358,0.0304118180734535,0.003915877665181977,0.444,0.8055325991786464,0.07238881250924993,True,True
dropout,0.05,0.7435266666666667,0.9646708571111112,0.7033133333333333,0.953665663160494,0.04021333333333332,0.011005193950617276,0.030103074478416092,0.011122626960972992,0.10947333333333334,0.19022100813368786,0.0010020111565152878,True,True
dropout,0.1,0.7435266666666667,0.9646708571111112,0.6489733333333333,0.9371113529629629,0.09455333333333338,0.02755950414814834,0.07014200366303591,0.02634687561541804,0.21321333333333334,0.37232420409897116,0.004826028702522808,True,True
merge,0.1,0.7435266666666667,0.9646708571111112,0.7243466666666667,0.9592605905185184,0.019179999999999975,0.005410266592592805,0.01253027059206202,0.004386785050034536,0.08342,0.1494057995092388,0.0007988073636864856,True,True
merge,0.2,0.7435266666666667,0.9646708571111112,0.6958866666666667,0.9520006851604936,0.047640000000000016,0.012670171950617592,0.02819625039551754,0.010263157669901823,0.15706666666666666,0.2787538494166242,0.0034824925529367426,True,True
global_scale,0.03,0.7435266666666667,0.9646708571111112,0.7401533333333333,0.9638885094567902,0.0033733333333333393,0.0007823476543210584,0.0026473641041521168,0.0009378690819938917,0.031753333333333335,0.054217119397968326,6.596893849085015e-07,True,True
