metric,spearman_delta_auc,pearson_delta_auc,spearman_delta_acc,pearson_delta_acc
prob_l1_drift,0.9500000000000001,0.9851151676697684,0.9833333333333333,0.9871916116580635
top1_flip_rate,0.9500000000000001,0.9847236646450775,0.9833333333333333,0.9864980677686063
class_js_divergence,0.9500000000000001,0.9340991583655776,0.9833333333333333,0.9399008575455361
confidence_drop,0.6666666666666667,0.24387071658626297,0.7,0.2308017444353371
entropy_shift,0.7833333333333333,0.5022605082782714,0.8499999999999999,0.4919486762268037
