method,mask_frac,targeted_mask_k_mean,random_mask_k_mean,abs_diff
input_gradients,0.02,1.0204,1.0204,0.0
input_gradients,0.05,1.96815,1.9681500000000003,2.220446049250313e-16
input_gradients,0.1,3.9206,3.9206,0.0
input_gradients,0.2,7.8369,7.8369,0.0
integrated_gradients,0.02,1.0204,1.0204,0.0
integrated_gradients,0.05,1.96815,1.9681500000000003,2.220446049250313e-16
integrated_gradients,0.1,3.9206,3.9206,0.0
integrated_gradients,0.2,7.8369,7.8369,0.0
smoothgrad,0.02,1.0204,1.0204,0.0
smoothgrad,0.05,1.96815,1.9681500000000003,2.220446049250313e-16
smoothgrad,0.1,3.9206,3.9206,0.0
smoothgrad,0.2,7.8369,7.8369,0.0
