metric,spearman_delta_auc,pearson_delta_auc,spearman_delta_acc,pearson_delta_acc
prob_l1_drift,0.9833333333333333,0.9854767070066485,0.9833333333333333,0.9891990525693496
top1_flip_rate,0.9833333333333333,0.9839522137774404,0.9833333333333333,0.9877687895316559
class_js_divergence,0.9833333333333333,0.9401477930854244,0.9833333333333333,0.9392218237659162
confidence_drop,0.5833333333333334,0.1062538390908567,0.5833333333333334,0.11359922774731833
entropy_shift,0.7666666666666667,0.4195986220102044,0.7666666666666667,0.42729876392588106
