method,mask_frac,targeted_mask_k_mean,random_mask_k_mean,abs_diff
input_gradients,0.02,1.02035,1.02035,0.0
input_gradients,0.05,1.9797,1.9797,0.0
input_gradients,0.1,3.94285,3.94285,0.0
input_gradients,0.2,7.894,7.894000000000001,8.881784197001252e-16
integrated_gradients,0.02,1.02035,1.02035,0.0
integrated_gradients,0.05,1.9797,1.9797,0.0
integrated_gradients,0.1,3.94285,3.94285,0.0
integrated_gradients,0.2,7.894,7.894000000000001,8.881784197001252e-16
smoothgrad,0.02,1.02035,1.02035,0.0
smoothgrad,0.05,1.9797,1.9797,0.0
smoothgrad,0.1,3.94285,3.94285,0.0
smoothgrad,0.2,7.894,7.894000000000001,8.881784197001252e-16
