method,n_targeted_drop,n_random_drop,n_gap_target_minus_random,n_auc_gap,n_acc_gap,mean_targeted_drop,mean_random_drop,mean_gap_target_minus_random,mean_auc_gap,mean_acc_gap,std_targeted_drop,std_random_drop,std_gap_target_minus_random,std_auc_gap,std_acc_gap,min_targeted_drop,min_random_drop,min_gap_target_minus_random,min_auc_gap,min_acc_gap,max_targeted_drop,max_random_drop,max_gap_target_minus_random,max_auc_gap,max_acc_gap
input_gradients,5,5,5,5,5,0.1950589449335701,0.030548817596941096,0.16451012733662898,0.07321843606481482,0.1824075,0.01815182242433942,0.0011041294689215155,0.01778650388489519,0.007880133316550242,0.021864819535805307,0.1728138543311346,0.028881276594752807,0.1439325777363818,0.06361234155092589,0.156325,0.22266961306896377,0.031837909105958906,0.19248949723616451,0.08442178402777778,0.21624583333333333
integrated_gradients,5,5,5,5,5,0.2590997444830651,0.030548817596941096,0.22855092688612402,0.10075325571759261,0.25266,0.01300575387323463,0.0011041294689215155,0.012457786294833802,0.006324052676535033,0.015404803600122061,0.23906455973596025,0.028881276594752807,0.21018328314120743,0.09026029988425924,0.22876249999999998,0.2697669535680216,0.031837909105958906,0.23894176922172478,0.10572756770833341,0.26445833333333335
smoothgrad,5,5,5,5,5,0.20211026061419193,0.030548817596941096,0.17156144301725088,0.07131285877314814,0.1867425,0.01170865413178661,0.0011041294689215155,0.01180135443753611,0.00771905052469565,0.012919247188465228,0.1861557925701777,0.028881276594752807,0.15513619046528,0.061576943171296264,0.16920833333333335,0.21836215400352726,0.031837909105958906,0.18818203817072804,0.08203433472222216,0.20505833333333334
