seed,run_name,acc,auc_macro_ovr,signal_vs_bg_auc,signal_vs_bg_fpr50,target_vs_bg_ratio_auc,target_vs_bg_ratio_fpr50,mean_entropy,mean_confidence,best_epoch,best_val_metric_seen,val_metric_reloaded,trainer_posthoc_metric_abs_diff
41,prelim_reimpl_cluster_seed41,0.7435266666666667,0.9646708571111112,0.9567941725925926,0.0084,0.9912942666666666,0.001,0.6084794402122498,0.7821894288063049,30.0,0.9652119011111111,0.9652119011111111,0.0
52,prelim_reimpl_cluster_seed52,0.74254,0.9637968609382718,0.9571197696296296,0.008,0.9898757644444445,0.0010666666666666667,0.6191705465316772,0.7776374220848083,28.0,0.9635433775555555,0.9635433775555555,0.0
63,prelim_reimpl_cluster_seed63,0.75514,0.9674092450864198,0.9587377466666667,0.0074,0.9934394600000002,0.0003333333333333333,0.5840703845024109,0.7910087704658508,27.0,0.967284206888889,0.967284206888889,0.0
74,prelim_reimpl_cluster_seed74,0.7515266666666667,0.9666323874567901,0.9586649916049382,0.007266666666666667,0.9927840755555555,0.00046666666666666666,0.5844208598136902,0.7905054688453674,30.0,0.9664321244444445,0.9664321244444445,0.0
85,prelim_reimpl_cluster_seed85,0.7368733333333334,0.9627633469382715,0.9552123138271607,0.0082,0.9876538622222223,0.0008666666666666666,0.6380888223648071,0.771141767501831,29.0,0.9615882493333334,0.9615882493333334,0.0
