metric,aspen_metric_value,slope,intercept,predicted_delta_acc_raw,predicted_delta_acc_clipped,predicted_expected_acc,mapping_weight_abs_spearman
prob_l1_drift,0.9656348994781963,0.38718243473146696,0.003424930648359099,0.37730180209000247,0.37730180209000247,0.3742248645766642,0.9833333333333333
top1_flip_rate,0.7262323333333334,0.6791875571483474,0.005187545229471892,0.498435509628283,0.498435509628283,0.2530911570383837,0.9833333333333333
class_js_divergence,0.20879946106716257,3.140958040565873,0.023962123620551612,0.6797924697252768,0.6797924697252768,0.07173419694138983,0.9833333333333333
confidence_drop,0.24481835778598493,4.962118146672732,0.00726065489919052,1.2220782707076439,1.0,0.0,0.9333333333333332
entropy_shift,0.6867995781352279,2.183218989534074,-0.006151512898272658,1.4932823680905476,1.0,0.0,0.9166666666666666
