metric,n_points,slope,intercept,spearman_xy,pearson_xy,mae,rmse,r2
prob_l1_drift,9.0,0.38718243473146696,0.003424930648359099,0.9833333333333333,0.986030809402618,0.0077903567527844286,0.011344890916045652,0.9722567570911818
top1_flip_rate,9.0,0.6791875571483474,0.005187545229471892,0.9833333333333333,0.9825162393219402,0.008910105395231295,0.012680825183938729,0.9653381605313278
class_js_divergence,9.0,3.140958040565873,0.023962123620551612,0.9833333333333333,0.9331626967740626,0.019089724921447507,0.02448304182789634,0.8707926186506412
confidence_drop,9.0,4.962118146672732,0.00726065489919052,0.9333333333333332,0.5923951602276827,0.033477646953720214,0.05487402321880945,0.3509320258611819
entropy_shift,9.0,2.183218989534074,-0.006151512898272658,0.9166666666666666,0.7522577453954021,0.028481882258978717,0.04487668300334171,0.5658917155073737
