corruption_kind,severity,acc_corrupted,delta_acc,prob_l1_drift,top1_flip_rate,class_js_divergence,confidence_drop,entropy_shift
pt_noise,0.03,0.75098,0.0005466666666666953,0.00029015093185738583,0.00041999999999999676,1.671774662881522e-08,0.000151932727793902,0.0003771331865255467
pt_noise,0.06,0.75006,0.0014666666666667272,0.000776644761203496,0.000513333333333324,1.33364691357266e-07,0.000304518363277162,0.0010086041641724774
eta_phi_jitter,0.02,0.72994,0.021586666666666643,0.08854784189321532,0.04803333333333333,0.0022177715380799928,0.010698503975371532,0.03219072128993161
eta_phi_jitter,0.05,0.5259866666666667,0.22553999999999996,0.5880178951101106,0.33393333333333336,0.06564695259802386,0.013629246988892563,0.05420447847946219
dropout,0.05,0.7107933333333334,0.04073333333333329,0.07738003209678627,0.03966666666666664,0.000986311143408624,0.011056712047159745,0.030298470474132366
dropout,0.1,0.6544866666666667,0.09704000000000002,0.17022124846123854,0.0888733333333333,0.004698664295323465,0.027135869448880356,0.07197336742320315
merge,0.1,0.7309466666666666,0.020580000000000043,0.05721899134496475,0.03066,0.0006924657979630853,0.004643931270440493,0.013236130514697408
merge,0.2,0.7045933333333333,0.04693333333333338,0.11891706902506789,0.06224666666666665,0.0028845544024398055,0.010434852787355675,0.02901256548569542
global_scale,0.03,0.74804,0.003486666666666638,0.0016991687361984087,0.001120000000000003,6.236075731900256e-07,0.0010573087143898041,0.002799520627240093
